year,month,tourist arrival,USD,GBP,GDP (current US$),Kerosine type jet fuel (U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)),month_name,mean_temp,max_temp,min_temp,total_precip
2017,1.0,"219,360",150.0,,94369350286.0,1.514,January,25.55161290322581,32.6,19.0,96.7
2017,2.0,"197,517",151.0,,94369350286.0,1.547,February,25.96785714285715,34.3,19.6,42.99999999999999
2017,3.0,"188,076",151.0,,94369350286.0,1.445,March,26.700000000000006,30.8,22.8,144.09999999999997
2017,4.0,"160,249",152.0,,94369350286.0,1.51,April,28.026666666666667,32.0,24.6,139.9
2017,5.0,"121,891",152.0,,94369350286.0,1.412,May,27.622580645161285,31.8,23.8,350.09999999999997
2017,6.0,"123,351",153.0,,94369350286.0,1.295,June,26.896666666666665,29.5,24.3,383.69999999999993
2017,7.0,"205,482",154.0,,94369350286.0,1.417,July,27.28064516129033,29.4,24.3,252.4
2017,8.0,"190,928",153.0,,94369350286.0,1.561,August,26.780645161290323,28.9,24.3,327.4
2017,9.0,"145,077",153.0,,94369350286.0,1.8,September,26.416666666666664,30.8,23.6,321.2
2017,10.0,"152,429",154.0,,94369350286.0,1.659,October,26.332258064516125,29.5,23.5,421.7999999999999
2017,11.0,"167,511",154.0,,94369350286.0,1.76,November,25.65666666666667,29.5,22.6,516.4
2017,12.0,"244,536",153.1506,,94369350286.0,1.817,December,25.74516129032258,30.9,20.4,158.10000000000002
2018,1.0,"238,924",154.0,,94450015983.0,1.952,January,25.90322580645161,33.1,19.9,23.0
2018,2.0,"235,618",155.0,,94450015983.0,1.849,February,26.775,33.7,21.4,62.39999999999999
2018,3.0,"233,382",156.0,,94450015983.0,1.858,March,26.819354838709675,31.2,22.9,127.0
2018,4.0,"180,429",156.0,,94450015983.0,2.015,April,27.016666666666666,31.5,23.4,164.3
2018,5.0,"129,466",158.0,,94450015983.0,2.155,May,26.641935483870967,30.6,23.8,495.2
2018,6.0,"146,828",159.0,,94450015983.0,2.09,June,26.74666666666667,29.4,24.2,422.9999999999999
2018,7.0,"217,829",159.0,,94450015983.0,2.098,July,26.58387096774193,29.0,23.9,167.5
2018,8.0,"200,359",160.0,,94450015983.0,2.118,August,26.212903225806453,28.4,24.0,107.1
2018,9.0,"149,087",164.0,,94450015983.0,2.189,September,26.713333333333328,29.9,23.9,149.10000000000002
2018,10.0,"153,123",171.0,,94450015983.0,2.249,October,25.722580645161297,29.4,22.7,361.9
2018,11.0,"195,582",177.0,,94450015983.0,1.945,November,25.729999999999993,30.6,22.3,299.5
2018,12.0,"253,169",180.098,,94450015983.0,1.696,December,25.687096774193545,31.3,19.7,57.60000000000001
2019,1.0,"244,239",182.0,,88998706297.0,1.784,January,26.503225806451617,34.0,21.1,22.1
2019,2.0,"252,033",179.0,,88998706297.0,1.914,February,26.80714285714285,33.4,22.6,120.5
2019,3.0,"244,328",178.0,,88998706297.0,1.902,March,27.703225806451613,33.4,22.8,72.60000000000001
2019,4.0,"166,975",175.0,,88998706297.0,1.977,April,28.126666666666672,33.7,24.0,126.89999999999998
2019,5.0,"37,802",176.0,,88998706297.0,1.972,May,27.96129032258065,31.1,24.8,129.9
2019,6.0,"63,072",177.0,,88998706297.0,1.817,June,27.750000000000004,30.8,24.3,288.0
2019,7.0,"115,701",176.0,,88998706297.0,1.913,July,27.254838709677426,30.3,24.3,179.79999999999998
2019,8.0,"143,587",178.0,,88998706297.0,1.8,August,26.58064516129032,29.8,23.9,411.7000000000001
2019,9.0,"108,575",181.0,,88998706297.0,1.874,September,26.19,30.1,23.1,363.2000000000001
2019,10.0,"118,743",181.0,,88998706297.0,1.861,October,25.55161290322581,29.8,22.2,492.2000000000001
2019,11.0,"176,984",180.0,,88998706297.0,1.824,November,25.926666666666662,30.2,22.1,395.5
2019,12.0,"241,663",181.0,,88998706297.0,1.893,December,25.851612903225806,31.0,21.2,160.8
2020,1.0,"228,434",181.0,,84335574582.0,1.77,January,26.600000000000005,33.1,20.2,19.9
2020,2.0,"207,507",182.0,,84335574582.0,1.509,February,27.62413793103448,35.4,22.6,24.1
2020,3.0,"71,370",185.0,,84335574582.0,0.953,March,27.96451612903225,33.1,23.1,48.6
2020,4.0,---,193.0854,,84335574582.0,0.606,April,27.836666666666662,32.8,23.0,152.6
2020,5.0,---,187.865,,84335574582.0,0.686,May,27.732258064516127,31.9,24.8,287.4
2020,6.0,---,185.9545,,84335574582.0,0.983,June,27.45,30.1,24.8,264.3
2020,7.0,---,185.8487,,84335574582.0,1.084,July,26.845161290322583,30.0,23.8,251.99999999999997
2020,8.0,---,184.8939,,84335574582.0,1.112,August,26.822580645161292,29.6,24.6,209.2
2020,9.0,---,185.0317,,84335574582.0,1.006,September,26.179999999999993,29.0,23.0,387.8
2020,10.0,---,184.4379,,84335574582.0,1.047,October,26.806451612903224,29.1,23.6,109.1
2020,11.0,---,184.7882,,84335574582.0,1.133,November,26.190000000000005,31.0,22.5,373.6
2020,12.0,393,187.1822,,84335574582.0,1.324,December,25.65483870967742,30.4,21.6,151.5
2021,1.0,"1,682",190.0,,88556698938.0,1.42,January,25.409677419354836,30.6,21.4,280.5
2021,2.0,"3,366",194.0,,88556698938.0,1.601,February,26.360714285714288,32.6,21.1,23.0
2021,3.0,"4,581",197.0,,88556698938.0,1.661,March,26.46451612903226,31.6,20.0,203.2
2021,4.0,"4,168",197.0,,88556698938.0,1.669,April,27.206666666666663,31.0,23.0,101.3
2021,5.0,"1,497",200.0,,88556698938.0,1.752,May,27.17096774193548,30.9,23.7,423.0
2021,6.0,"1,614",200.0,,88556698938.0,1.857,June,26.94333333333333,29.6,24.4,247.60000000000005
2021,7.0,"2,429",200.0,,88556698938.0,1.887,July,26.87741935483871,29.2,24.4,280.90000000000003
2021,8.0,"5,040",200.0,,88556698938.0,1.817,August,26.49677419354839,28.9,24.0,276.3
2021,9.0,"13,547",202.0,,88556698938.0,2.003,September,26.66333333333333,29.4,24.2,264.1
2021,10.0,"22,771",201.0,,88556698938.0,2.296,October,26.27741935483871,29.5,22.9,332.90000000000003
2021,11.0,"44,294",202.0,,88556698938.0,2.193,November,25.44,29.4,22.2,564.2
2022,1.0,"82,327",199.0,,74143020263.0,2.446,January,26.070967741935487,33.1,18.2,74.7
2022,2.0,"96,507",202.0,,74143020263.0,2.682,February,26.525,34.7,20.9,50.6
2022,3.0,"106,500",256.0,,74143020263.0,3.495,March,27.1741935483871,34.8,22.4,53.29999999999998
2022,4.0,"62,980",319.0,,74143020263.0,3.914,April,26.65,31.7,22.2,210.59999999999997
2022,5.0,"30,207",359.0,,74143020263.0,3.902,May,26.86774193548387,31.0,23.9,592.6000000000001
2022,6.0,"32,856",360.0,,74143020263.0,4.12,June,26.663333333333338,29.3,23.7,286.4
2022,7.0,"47,293",361.0,,74143020263.0,3.478,July,26.645161290322584,29.7,23.6,153.2
2022,8.0,"37,760",361.0,,74143020263.0,3.339,August,26.20322580645161,29.1,23.4,314.1
2022,9.0,"29,802",362.0,,74143020263.0,3.262,September,26.256666666666664,29.0,23.2,188.40000000000003
2022,10.0,"42,026",363.0,,74143020263.0,3.715,October,25.741935483870964,29.9,22.5,408.50000000000006
2022,11.0,"59,759",363.0,,74143020263.0,3.16,November,25.28,30.1,20.4,272.7999999999999
