year,month,tourist arrival,USD,GBP,GDP (current US$),Kerosine type jet fuel (U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)),month_name,festival,mean_temp,max_temp,min_temp,total_precip
2017,1,"219,360",150.0,,94369350286.0,1.514,January,,22.848387096774193,32.6,5.2,643.4
2017,2,"197,517",151.0,,94369350286.0,1.547,February,,23.199285714285715,34.3,6.2,252.3
2017,3,"188,076",151.0,,94369350286.0,1.445,March,,24.15225806451613,32.9,7.9,547.7
2017,4,"160,249",152.0,,94369350286.0,1.51,April,Sinhala & Tamil New Year,25.534666666666663,38.8,10.6,514.4
2017,5,"121,891",152.0,,94369350286.0,1.412,May,Vesak,25.28451612903226,37.6,11.9,1138.7
2017,6,"123,351",153.0,,94369350286.0,1.295,June,Poson,24.792,37.3,12.9,923.5
2017,7,"205,482",154.0,,94369350286.0,1.417,July,,24.98193548387097,37.9,12.5,705.7
2017,8,"190,928",153.0,,94369350286.0,1.561,August,Esala Perahera (Kandy),24.4,36.3,11.6,1096.9
2017,9,"145,077",153.0,,94369350286.0,1.8,September,,24.107333333333333,35.4,11.3,1053.7
2017,10,"152,429",154.0,,94369350286.0,1.659,October,,24.05483870967742,36.1,11.6,1443.6
2017,11,"167,511",154.0,,94369350286.0,1.76,November,,23.250666666666667,32.0,10.2,1949.1
2017,12,"244,536",153.1506,,94369350286.0,1.817,December,Christmas,23.153548387096773,31.0,9.9,622.0
2018,1,"238,924",154.0,,94450015983.0,1.952,January,,23.047741935483867,33.1,6.3,181.2
2018,2,"235,618",155.0,,94450015983.0,1.849,February,,23.783571428571427,33.7,9.2,374.6
2018,3,"233,382",156.0,,94450015983.0,1.858,March,,24.294193548387096,33.8,9.8,573.0
2018,4,"180,429",156.0,,94450015983.0,2.015,April,Sinhala & Tamil New Year,24.803333333333335,34.8,11.4,578.2
2018,5,"129,466",158.0,,94450015983.0,2.155,May,Vesak,24.383225806451613,36.8,12.3,1690.3
2018,6,"146,828",159.0,,94450015983.0,2.09,June,Poson,24.413333333333338,36.6,12.9,1151.4999999999998
2018,7,"217,829",159.0,,94450015983.0,2.098,July,,24.23677419354839,37.9,11.6,861.8000000000001
2018,8,"200,359",160.0,,94450015983.0,2.118,August,Esala Perahera (Kandy),23.900645161290324,36.5,11.0,945.2
2018,9,"149,087",164.0,,94450015983.0,2.189,September,,24.169333333333334,37.6,10.5,793.9
2018,10,"153,123",171.0,,94450015983.0,2.249,October,,23.36193548387097,33.0,11.2,2179.6000000000004
