year,month,mean_temp,max_temp,min_temp,total_precip
2017,1,25.55161290322581,32.6,19.0,96.7
2017,2,25.96785714285715,34.3,19.6,42.99999999999999
2017,3,26.700000000000006,30.8,22.8,144.09999999999997
2017,4,28.026666666666667,32.0,24.6,139.9
2017,5,27.622580645161285,31.8,23.8,350.09999999999997
2017,6,26.896666666666665,29.5,24.3,383.69999999999993
2017,7,27.28064516129033,29.4,24.3,252.4
2017,8,26.780645161290323,28.9,24.3,327.4
2017,9,26.416666666666664,30.8,23.6,321.2
2017,10,26.332258064516125,29.5,23.5,421.79999999999995
2017,11,25.65666666666667,29.5,22.6,516.4
2017,12,25.74516129032258,30.9,20.4,158.10000000000002
2018,1,25.90322580645161,33.1,19.9,23.0
2018,2,26.775000000000002,33.7,21.4,62.39999999999999
2018,3,26.819354838709675,31.2,22.9,126.99999999999999
2018,4,27.016666666666666,31.5,23.4,164.3
2018,5,26.641935483870967,30.6,23.8,495.2
2018,6,26.74666666666667,29.4,24.2,422.9999999999999
2018,7,26.58387096774193,29.0,23.9,167.5
2018,8,26.212903225806453,28.4,24.0,107.10000000000001
2018,9,26.713333333333328,29.9,23.9,149.10000000000002
2018,10,25.722580645161294,29.4,22.7,361.9
2018,11,25.729999999999993,30.6,22.3,299.5
2018,12,25.687096774193545,31.3,19.7,57.60000000000001
2019,1,26.503225806451614,34.0,21.1,22.099999999999998
2019,2,26.80714285714285,33.4,22.6,120.50000000000001
2019,3,27.703225806451613,33.4,22.8,72.60000000000001
2019,4,28.126666666666672,33.7,24.0,126.89999999999998
2019,5,27.96129032258065,31.1,24.8,129.9
2019,6,27.750000000000004,30.8,24.3,288.0
2019,7,27.254838709677422,30.3,24.3,179.79999999999998
2019,8,26.58064516129032,29.8,23.9,411.70000000000005
2019,9,26.19,30.1,23.1,363.20000000000005
2019,10,25.55161290322581,29.8,22.2,492.20000000000005
2019,11,25.926666666666662,30.2,22.1,395.5
2019,12,25.851612903225806,31.0,21.2,160.8
2020,1,26.600000000000005,33.1,20.2,19.9
2020,2,27.62413793103448,35.4,22.6,24.099999999999998
2020,3,27.96451612903225,33.1,23.1,48.6
2020,4,27.836666666666666,32.8,23.0,152.6
2020,5,27.732258064516127,31.9,24.8,287.4
2020,6,27.45,30.1,24.8,264.3
2020,7,26.845161290322583,30.0,23.8,251.99999999999997
2020,8,26.822580645161292,29.6,24.6,209.2
2020,9,26.179999999999993,29.0,23.0,387.8
2020,10,26.806451612903224,29.1,23.6,109.1
2020,11,26.190000000000005,31.0,22.5,373.6
2020,12,25.65483870967742,30.4,21.6,151.5
2021,1,25.409677419354836,30.6,21.4,280.5
2021,2,26.360714285714288,32.6,21.1,23.0
2021,3,26.46451612903226,31.6,20.0,203.2
2021,4,27.206666666666663,31.0,23.0,101.3
2021,5,27.17096774193548,30.9,23.7,423.0
2021,6,26.94333333333333,29.6,24.4,247.60000000000005
2021,7,26.87741935483871,29.2,24.4,280.90000000000003
2021,8,26.49677419354839,28.9,24.0,276.3
2021,9,26.66333333333333,29.4,24.2,264.1
2021,10,26.27741935483871,29.5,22.9,332.90000000000003
2021,11,25.439999999999998,29.4,22.2,564.2
2021,12,25.72258064516129,31.9,20.0,99.3
2022,1,26.070967741935487,33.1,18.2,74.7
2022,2,26.525000000000002,34.7,20.9,50.6
2022,3,27.1741935483871,34.8,22.4,53.29999999999998
2022,4,26.65,31.7,22.2,210.59999999999997
2022,5,26.86774193548387,31.0,23.9,592.6000000000001
2022,6,26.663333333333338,29.3,23.7,286.4
2022,7,26.645161290322584,29.7,23.6,153.2
2022,8,26.20322580645161,29.1,23.4,314.1
2022,9,26.256666666666664,29.0,23.2,188.40000000000003
2022,10,25.741935483870964,29.9,22.5,408.50000000000006
2022,11,25.279999999999998,30.1,20.4,272.7999999999999
